case,input_y_mm,output_x_mm,output_y_mm,bar_error_mm,ground_error_mm,drive_error_mm,branch_error_mm,inverse_error_mm2,collinearity_error_mm2,output_error_mm,straight_error_mm
broken,21,90.00745174999882,29.423182077494612,6.181721801112872e-13,0.0,0.0,8.526512829121202e-14,1.546140993013978e-11,3.4788172342814505e-11,5.597074616988487e-13,1.4211196785726088
broken,22,89.99104486717506,31.180153585226037,9.947598300641403e-13,5e-20,0.0,1.4210854715202004e-13,2.4556356947869062e-11,5.547917680814862e-11,9.033957815406545e-13,1.4375265613963677
broken,23,89.97297456974722,33.007196376170235,1.6697754290362354e-12,2.7e-19,0.0,2.7000623958883807e-13,4.092726157978177e-11,9.322320693172514e-11,1.5521252694687968e-12,1.455596858824208
broken,24,89.95301103284359,34.91466851865704,2.8990143619012088e-12,1.6e-19,0.0,5.542233338928781e-13,6.639311322942376e-11,1.6189005691558123e-10,2.7518467968508422e-12,1.4755603957278396
broken,25,89.93086860131605,36.91521053098903,5.279332526697544e-12,1.6e-19,0.0,1.1581846592889633e-12,1.1459633242338896e-10,2.937667886726558e-10,5.1085650876183e-12,1.497702827255381
broken,26,89.90618635106533,39.02451888827054,1.0203393685515039e-11,6e-20,0.0,2.5792701308091637e-12,2.091837814077735e-10,5.625224730465561e-10,1.0163833878299918e-11,1.522385077506101
broken,27,89.87849921536638,41.26248567562498,2.1032064978498966e-11,3.7e-19,0.0,6.0538241086760536e-12,4.019966581836343e-10,1.1500560503918678e-09,2.173513992799088e-11,1.5500722132050555
broken,28,89.84719350829255,43.65493977142199,4.693845312431222e-11,8e-19,0.0,1.5376144801848568e-11,8.312781574204564e-10,2.5411281967535615e-09,5.086408151225737e-11,1.5813779202788822
broken,29,89.81143532135548,46.236426728207704,1.1565504109967151e-10,5e-19,0.0,4.305178435970447e-11,1.8799255485646427e-09,6.201389624038711e-09,1.3304738401088498e-10,1.6171361072159556
broken,30,89.77004875577953,49.054895957705796,3.2359537271986483e-10,2.97e-18,0.0,1.3707079915548093e-10,4.750290827360004e-09,1.7167167243314907e-08,4.0051633954918373e-10,1.6585226727919036
nominal,-30,91.42857142875567,-51.72493294386461,1.1158718393744493e-09,1.88e-18,7.105427357601002e-15,5.071356667940563e-10,1.2754753697663546e-08,5.597485142061487e-08,1.4577158713255369e-09,1.8424373138259398e-10
nominal,-29,91.42857142863897,-48.564593679161426,3.3669778076728107e-10,1.5e-19,0.0,1.333972932116012e-10,4.4037733459845185e-09,1.7092588677769527e-08,4.0157867576307113e-10,6.754419246135512e-11
nominal,-28,91.4285714285998,-45.714285714155515,1.2028777973682736e-10,1.5e-19,0.0,4.175859658062109e-11,1.760781742632389e-09,6.176833267090842e-09,1.3325376842105554e-10,2.83648660115432e-11
nominal,-27,91.42857142858463,-43.1032975192902,4.881428594671888e-11,7.2e-19,0.0,1.4857448604743695e-11,7.867129170335829e-10,2.532942744437605e-09,5.0924775829507265e-11,1.3201884030422661e-11
nominal,-26,91.42857142857805,-40.68308034206293,2.1870505406695884e-11,2.9e-19,0.0,5.8264504332328215e-12,3.8107828004285693e-10,1.1455085768830031e-09,2.1749550651654898e-11,6.622258297284134e-12
nominal,-25,91.42857142857495,-38.418660835348504,1.0622613899613498e-11,7e-20,0.0,2.4655832930875476e-12,1.9736035028472543e-10,5.620677256956697e-10,1.0184186996026288e-11,3.524291969370097e-12
nominal,-24,91.42857142857345,-36.28389178775149,5.5067062021407764e-12,1.5e-19,0.0,1.1155520951433573e-12,1.1095835361629725e-10,2.937667886726558e-10,5.137970830483912e-12,2.0179413695586845e-12
nominal,-23,91.42857142857262,-34.25863585969108,3.0127011996228248e-12,1.5e-19,0.0,5.186961971048731e-13,6.366462912410498e-11,1.6189005691558123e-10,2.7519568743920115e-12,1.1937117960769683e-12
nominal,-22,91.4285714285722,-32.32700185918867,1.7337242752546445e-12,4e-20,0.0,2.5579538487363607e-13,4.092726157978177e-11,9.345058060716838e-11,1.5661142055222813e-12,7.673861546209082e-13
nominal,-21,91.4285714285719,-30.476190476189682,1.0302869668521453e-12,7e-20,0.0,1.2789769243681803e-13,2.4556356947869062e-11,5.616129783447832e-11,9.206465238585902e-13,4.689582056016661e-13
nominal,-20,91.42857142857173,-28.695710936273144,6.465938895416912e-13,7e-20,0.0,6.394884621840902e-14,1.546140993013978e-11,3.524291969370097e-11,5.709267256288867e-13,2.984279490192421e-13
nominal,-19,91.42857142857162,-26.976832897933473,4.050093593832571e-13,1e-20,0.0,2.842170943040401e-14,9.094947017729282e-12,2.205524651799351e-11,3.586657574068102e-13,1.8474111129762605e-13
nominal,-18,91.42857142857156,-25.31219281469304,2.7000623958883807e-13,2e-20,0.0,2.842170943040401e-14,8.185452315956354e-12,1.432454155292362e-11,2.335351955131386e-13,1.2789769243681803e-13
nominal,-17,91.4285714285715,-23.695504771459575,1.8474111129762605e-13,1e-20,0.0,2.842170943040401e-14,4.547473508864641e-12,1.000444171950221e-11,1.5635976840162433e-13,7.105427357601002e-14
nominal,-16,91.42857142857152,-22.12134381401842,1.3500311979441904e-13,1e-20,0.0,0.0,4.547473508864641e-12,7.048583938740194e-12,1.2058310082691391e-13,8.526512829121202e-14
nominal,-15,91.4285714285715,-20.584980713546354,8.526512829121202e-14,2e-20,0.0,0.0,4.547473508864641e-12,4.092726157978177e-12,8.474544047399891e-14,7.105427357601002e-14
nominal,-14,91.42857142857146,-19.082253944875838,5.684341886080802e-14,2e-20,0.0,1.4210854715202004e-14,1.8189894035458565e-12,3.410605131648481e-12,5.1728291973635394e-14,2.842170943040401e-14
nominal,-13,91.42857142857146,-17.60946905639494,4.263256414560601e-14,1e-20,0.0,0.0,9.094947017729282e-13,1.8189894035458565e-12,4.7664655742347644e-14,2.842170943040401e-14
nominal,-12,91.42857142857144,-16.163318510116596,3.552713678800501e-14,0.0,0.0,0.0,1.8189894035458565e-12,2.0463630789890885e-12,3.776586443654626e-14,1.4210854715202004e-14
nominal,-11,91.42857142857144,-14.740817025061396,2.842170943040401e-14,1e-20,0.0,0.0,9.094947017729282e-13,1.0231815394945443e-12,2.0097183471152322e-14,1.4210854715202004e-14
nominal,-10,91.42857142857144,-13.339248800028832,2.1316282072803006e-14,0.0,0.0,1.4210854715202004e-14,1.8189894035458565e-12,7.958078640513122e-13,1.888293221827313e-14,1.4210854715202004e-14
nominal,-9,91.42857142857143,-11.95612393066132,2.1316282072803006e-14,0.0,0.0,0.0,9.094947017729282e-13,3.410605131648481e-13,5.329070518200751e-15,0.0
